ID_Local,País,UF,Cidade,Codigo
1639,Brasil,São Paulo,Francisco Morato,BrasilSão PauloFrancisco Morato
1640,Brasil,Minas Gerais,Francisco Sá,BrasilMinas GeraisFrancisco Sá
1641,Brasil,Piauí,Francisco Santos,BrasilPiauíFrancisco Santos
1642,Brasil,Minas Gerais,Franciscópolis,BrasilMinas GeraisFranciscópolis
1643,Brasil,São Paulo,Franco da Rocha,BrasilSão PauloFranco da Rocha
1644,Brasil,Ceará,Frecheirinha,BrasilCearáFrecheirinha
1645,Brasil,Rio Grande do Sul,Frederico Westphalen,BrasilRio Grande do SulFrederico Westphalen
1646,Brasil,Minas Gerais,Frei Gaspar,BrasilMinas GeraisFrei Gaspar
1647,Brasil,Paraíba,Frei Martinho,BrasilParaíbaFrei Martinho
1648,Brasil,Pernambuco,Frei Miguelinho,BrasilPernambucoFrei Miguelinho
1649,Brasil,Sergipe,Frei Paulo,BrasilSergipeFrei Paulo
1650,Brasil,Minas Gerais,Fronteira,BrasilMinas GeraisFronteira
1651,Brasil,Piauí,Fronteiras,BrasilPiauíFronteiras
1652,Brasil,Minas Gerais,Frutal,BrasilMinas GeraisFrutal
1653,Brasil,Rio Grande do Norte,Frutuoso Gomes,BrasilRio Grande do NorteFrutuoso Gomes
1654,Brasil,Espírito Santo,Fundão,BrasilEspírito SantoFundão
1655,Brasil,Minas Gerais,Funilândia,BrasilMinas GeraisFunilândia
1656,Brasil,São Paulo,Gabriel Monteiro,BrasilSão PauloGabriel Monteiro
1657,Brasil,Paraíba,Gado Bravo,BrasilParaíbaGado Bravo
1658,Brasil,São Paulo,Gália,BrasilSão PauloGália
1659,Brasil,Minas Gerais,Galiléia,BrasilMinas GeraisGaliléia
1660,Brasil,Rio Grande do Norte,Galinhos,BrasilRio Grande do NorteGalinhos
1661,Brasil,Santa Catarina,Galvão,BrasilSanta CatarinaGalvão
1662,Brasil,Pernambuco,Gameleira,BrasilPernambucoGameleira
1663,Brasil,Goiás,Gameleira de Goiás,BrasilGoiásGameleira de Goiás
1664,Brasil,Bahia,Gandu,BrasilBahiaGandu
1665,Brasil,Pernambuco,Garanhuns,BrasilPernambucoGaranhuns
1666,Brasil,Sergipe,Gararu,BrasilSergipeGararu
1667,Brasil,São Paulo,Garça,BrasilSão PauloGarça
